901,13,a,International Networks 882 Antarctica
365,840,ai,1264 Cable and Wireless
310,390,us,Yorkville Telephone Cooperative
310,050,us,Unknown
310,880,us,Unknown
310,850,us,Aeris Comm. Inc.
310,640,us,Unknown
310,510,us,Airtel Wireless LLC
310,190,us,Unknown
312,090,us,Allied Wireless Communications Corporation
311,130,us,Unknown
310,710,us,Arctic Slope Telephone Association Cooperative Inc.
310,410,us,AT&T Wireless Inc.
310,380,us,AT&T Wireless Inc.
310,170,us,AT&T Wireless Inc.
310,150,us,AT&T Wireless Inc.
310,680,us,AT&T Wireless Inc.
310,070,us,AT&T Wireless Inc.
310,560,us,AT&T Wireless Inc.
310,980,us,AT&T Wireless Inc.
311,810,us,Bluegrass Wireless LLC
311,800,us,Bluegrass Wireless LLC
311,440,us,Bluegrass Wireless LLC
310,900,us,Cable & Communications Corp.
311,590,us,California RSA No. 3 Limited Partnership
311,500,us,Cambridge Telephone Company Inc.
310,830,us,Caprock Cellular Ltd.
311,285,us,Verizon Wireless
311,110,us,Verizon Wireless
311,390,us,Verizon Wireless
311,274,us,Verizon Wireless
311,279,us,Verizon Wireless
311,484,us,Verizon Wireless
310,010,us,Verizon Wireless
311,284,us,Verizon Wireless
311,489,us,Verizon Wireless
310,910,us,Verizon Wireless
311,289,us,Verizon Wireless
311,273,us,Verizon Wireless
311,278,us,Verizon Wireless
311,483,us,Verizon Wireless
310,004,us,Verizon Wireless
311,283,us,Verizon Wireless
311,488,us,Verizon Wireless
310,890,us,Verizon Wireless
311,288,us,Verizon Wireless
311,272,us,Verizon Wireless
311,277,us,Verizon Wireless
311,482,us,Verizon Wireless
311,282,us,Verizon Wireless
311,487,us,Verizon Wireless
310,590,us,Verizon Wireless
311,287,us,Verizon Wireless
311,271,us,Verizon Wireless
311,481,us,Verizon Wireless
311,276,us,Verizon Wireless
311,281,us,Verizon Wireless
311,486,us,Verizon Wireless
310,013,us,Verizon Wireless
311,286,us,Verizon Wireless
311,270,us,Verizon Wireless
311,480,us,Verizon Wireless
311,275,us,Verizon Wireless
311,280,us,Verizon Wireless
311,485,us,Verizon Wireless
310,012,us,Verizon Wireless
310,360,us,Cellular Network Partnership LLC
312,280,us,Cellular Network Partnership LLC
312,270,us,Cellular Network Partnership LLC
311,190,us,Unknown
310,030,us,Unknown
311,120,us,Choice Phone LLC
310,480,us,Choice Phone LLC
310,630,us,Unknown
310,420,us,Cincinnati Bell Wireless LLC
310,180,us,Cingular Wireless
310,620,us,Coleman County Telco /Trans TX
311,040,us,Unknown
312,380,us,Unknown
310,930,us,Unknown
311,240,us,Unknown
310,080,us,Unknown
310,700,us,Cross Valliant Cellular Partnership
312,030,us,Cross Wireless Telephone Co.
311,140,us,Cross Wireless Telephone Co.
311,520,us,Unknown
312,040,us,Custer Telephone Cooperative Inc.
310,440,us,Dobson Cellular Systems
310,990,us,E.N.M.R. Telephone Coop.
312,130,us,East Kentucky Network LLC
312,120,us,East Kentucky Network LLC
310,750,us,East Kentucky Network LLC
310,090,us,Edge Wireless LLC
310,610,us,Elkhart TelCo. / Epic Touch Co.
311,210,us,Unknown
311,311,us,Farmers
311,460,us,Fisher Wireless Services Inc.
311,370,us,GCI Communication Corp.
310,430,us,GCI Communication Corp.
310,920,us,Get Mobile Inc.
310,970,us,Unknown
311,340,us,Illinois Valley Cellular RSA 2 Partnership
311,030,us,Unknown
312,170,us,Iowa RSA No. 2 Limited Partnership
311,410,us,Iowa RSA No. 2 Limited Partnership
310,770,us,Iowa Wireless Services LLC
310,650,us,Jasper
310,870,us,Kaplan Telephone Company Inc.
310,690,us,Keystone Wireless LLC
312,180,us,Keystone Wireless LLC
311,310,us,Lamar County Cellular
